year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2012,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,BARACK OBAMA,DEMOCRAT,6363,23932,20191203,TOTAL
2012,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,MITT ROMNEY,REPUBLICAN,17379,23932,20191203,TOTAL
2012,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,OTHER,OTHER,190,23932,20191203,TOTAL
2012,ALABAMA,AL,BALDWIN,1003,PRESIDENT,BARACK OBAMA,DEMOCRAT,18424,85338,20191203,TOTAL
2012,ALABAMA,AL,BALDWIN,1003,PRESIDENT,MITT ROMNEY,REPUBLICAN,66016,85338,20191203,TOTAL
2012,ALABAMA,AL,BALDWIN,1003,PRESIDENT,OTHER,OTHER,898,85338,20191203,TOTAL
2012,ALABAMA,AL,BARBOUR,1005,PRESIDENT,BARACK OBAMA,DEMOCRAT,5912,11509,20191203,TOTAL
2012,ALABAMA,AL,BARBOUR,1005,PRESIDENT,MITT ROMNEY,REPUBLICAN,5550,11509,20191203,TOTAL
2012,ALABAMA,AL,BARBOUR,1005,PRESIDENT,OTHER,OTHER,47,11509,20191203,TOTAL
2012,ALABAMA,AL,BIBB,1007,PRESIDENT,BARACK OBAMA,DEMOCRAT,2202,8420,20191203,TOTAL
2012,ALABAMA,AL,BIBB,1007,PRESIDENT,MITT ROMNEY,REPUBLICAN,6132,8420,20191203,TOTAL
2012,ALABAMA,AL,BIBB,1007,PRESIDENT,OTHER,OTHER,86,8420,20191203,TOTAL
2012,ALABAMA,AL,BLOUNT,1009,PRESIDENT,BARACK OBAMA,DEMOCRAT,2970,24006,20191203,TOTAL
2012,ALABAMA,AL,BLOUNT,1009,PRESIDENT,MITT ROMNEY,REPUBLICAN,20757,24006,20191203,TOTAL
2012,ALABAMA,AL,BLOUNT,1009,PRESIDENT,OTHER,OTHER,279,24006,20191203,TOTAL
2012,ALABAMA,AL,BULLOCK,1011,PRESIDENT,BARACK OBAMA,DEMOCRAT,4061,5322,20191203,TOTAL
2012,ALABAMA,AL,BULLOCK,1011,PRESIDENT,MITT ROMNEY,REPUBLICAN,1251,5322,20191203,TOTAL
2012,ALABAMA,AL,BULLOCK,1011,PRESIDENT,OTHER,OTHER,10,5322,20191203,TOTAL
2012,ALABAMA,AL,BUTLER,1013,PRESIDENT,BARACK OBAMA,DEMOCRAT,4374,9496,20191203,TOTAL
2012,ALABAMA,AL,BUTLER,1013,PRESIDENT,MITT ROMNEY,REPUBLICAN,5087,9496,20191203,TOTAL
2012,ALABAMA,AL,BUTLER,1013,PRESIDENT,OTHER,OTHER,35,9496,20191203,TOTAL
2012,ALABAMA,AL,CALHOUN,1015,PRESIDENT,BARACK OBAMA,DEMOCRAT,15511,46257,20191203,TOTAL
2012,ALABAMA,AL,CALHOUN,1015,PRESIDENT,MITT ROMNEY,REPUBLICAN,30278,46257,20191203,TOTAL
2012,ALABAMA,AL,CALHOUN,1015,PRESIDENT,OTHER,OTHER,468,46257,20191203,TOTAL
2012,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,BARACK OBAMA,DEMOCRAT,6871,14611,20191203,TOTAL
2012,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,MITT ROMNEY,REPUBLICAN,7626,14611,20191203,TOTAL
2012,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,OTHER,OTHER,114,14611,20191203,TOTAL
2012,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,BARACK OBAMA,DEMOCRAT,2132,9779,20191203,TOTAL
2012,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,MITT ROMNEY,REPUBLICAN,7506,9779,20191203,TOTAL
2012,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,OTHER,OTHER,141,9779,20191203,TOTAL
2012,ALABAMA,AL,CHILTON,1021,PRESIDENT,BARACK OBAMA,DEMOCRAT,3397,17462,20191203,TOTAL
2012,ALABAMA,AL,CHILTON,1021,PRESIDENT,MITT ROMNEY,REPUBLICAN,13932,17462,20191203,TOTAL
2012,ALABAMA,AL,CHILTON,1021,PRESIDENT,OTHER,OTHER,133,17462,20191203,TOTAL
2012,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,BARACK OBAMA,DEMOCRAT,3786,7968,20191203,TOTAL
2012,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,MITT ROMNEY,REPUBLICAN,4152,7968,20191203,TOTAL
2012,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,OTHER,OTHER,30,7968,20191203,TOTAL
2012,ALABAMA,AL,CLARKE,1025,PRESIDENT,BARACK OBAMA,DEMOCRAT,6334,13851,20191203,TOTAL
2012,ALABAMA,AL,CLARKE,1025,PRESIDENT,MITT ROMNEY,REPUBLICAN,7470,13851,20191203,TOTAL
2012,ALABAMA,AL,CLARKE,1025,PRESIDENT,OTHER,OTHER,47,13851,20191203,TOTAL
2012,ALABAMA,AL,CLAY,1027,PRESIDENT,BARACK OBAMA,DEMOCRAT,1777,6662,20191203,TOTAL
2012,ALABAMA,AL,CLAY,1027,PRESIDENT,MITT ROMNEY,REPUBLICAN,4817,6662,20191203,TOTAL
2012,ALABAMA,AL,CLAY,1027,PRESIDENT,OTHER,OTHER,68,6662,20191203,TOTAL
2012,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,BARACK OBAMA,DEMOCRAT,971,6305,20191203,TOTAL
2012,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,MITT ROMNEY,REPUBLICAN,5272,6305,20191203,TOTAL
2012,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,OTHER,OTHER,62,6305,20191203,TOTAL
2012,ALABAMA,AL,COFFEE,1031,PRESIDENT,BARACK OBAMA,DEMOCRAT,4925,19770,20191203,TOTAL
2012,ALABAMA,AL,COFFEE,1031,PRESIDENT,MITT ROMNEY,REPUBLICAN,14666,19770,20191203,TOTAL
2012,ALABAMA,AL,COFFEE,1031,PRESIDENT,OTHER,OTHER,179,19770,20191203,TOTAL
2012,ALABAMA,AL,COLBERT,1033,PRESIDENT,BARACK OBAMA,DEMOCRAT,9166,23385,20191203,TOTAL
2012,ALABAMA,AL,COLBERT,1033,PRESIDENT,MITT ROMNEY,REPUBLICAN,13936,23385,20191203,TOTAL
2012,ALABAMA,AL,COLBERT,1033,PRESIDENT,OTHER,OTHER,283,23385,20191203,TOTAL
2012,ALABAMA,AL,CONECUH,1035,PRESIDENT,BARACK OBAMA,DEMOCRAT,3555,7022,20191203,TOTAL
2012,ALABAMA,AL,CONECUH,1035,PRESIDENT,MITT ROMNEY,REPUBLICAN,3439,7022,20191203,TOTAL
2012,ALABAMA,AL,CONECUH,1035,PRESIDENT,OTHER,OTHER,28,7022,20191203,TOTAL
2012,ALABAMA,AL,COOSA,1037,PRESIDENT,BARACK OBAMA,DEMOCRAT,2191,5269,20191203,TOTAL
2012,ALABAMA,AL,COOSA,1037,PRESIDENT,MITT ROMNEY,REPUBLICAN,3049,5269,20191203,TOTAL
2012,ALABAMA,AL,COOSA,1037,PRESIDENT,OTHER,OTHER,29,5269,20191203,TOTAL
2012,ALABAMA,AL,COVINGTON,1039,PRESIDENT,BARACK OBAMA,DEMOCRAT,3158,15423,20191203,TOTAL
2012,ALABAMA,AL,COVINGTON,1039,PRESIDENT,MITT ROMNEY,REPUBLICAN,12153,15423,20191203,TOTAL
2012,ALABAMA,AL,COVINGTON,1039,PRESIDENT,OTHER,OTHER,112,15423,20191203,TOTAL
2012,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,BARACK OBAMA,DEMOCRAT,2050,6418,20191203,TOTAL
2012,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,MITT ROMNEY,REPUBLICAN,4331,6418,20191203,TOTAL
2012,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,OTHER,OTHER,37,6418,20191203,TOTAL
2012,ALABAMA,AL,CULLMAN,1043,PRESIDENT,BARACK OBAMA,DEMOCRAT,5052,34457,20191203,TOTAL
2012,ALABAMA,AL,CULLMAN,1043,PRESIDENT,MITT ROMNEY,REPUBLICAN,28999,34457,20191203,TOTAL
2012,ALABAMA,AL,CULLMAN,1043,PRESIDENT,OTHER,OTHER,406,34457,20191203,TOTAL
2012,ALABAMA,AL,DALE,1045,PRESIDENT,BARACK OBAMA,DEMOCRAT,5286,18557,20191203,TOTAL
2012,ALABAMA,AL,DALE,1045,PRESIDENT,MITT ROMNEY,REPUBLICAN,13108,18557,20191203,TOTAL
2012,ALABAMA,AL,DALE,1045,PRESIDENT,OTHER,OTHER,163,18557,20191203,TOTAL
2012,ALABAMA,AL,DALLAS,1047,PRESIDENT,BARACK OBAMA,DEMOCRAT,14612,20953,20191203,TOTAL
2012,ALABAMA,AL,DALLAS,1047,PRESIDENT,MITT ROMNEY,REPUBLICAN,6288,20953,20191203,TOTAL
2012,ALABAMA,AL,DALLAS,1047,PRESIDENT,OTHER,OTHER,53,20953,20191203,TOTAL
2012,ALABAMA,AL,DEKALB,1049,PRESIDENT,BARACK OBAMA,DEMOCRAT,5239,23863,20191203,TOTAL
2012,ALABAMA,AL,DEKALB,1049,PRESIDENT,MITT ROMNEY,REPUBLICAN,18331,23863,20191203,TOTAL
2012,ALABAMA,AL,DEKALB,1049,PRESIDENT,OTHER,OTHER,293,23863,20191203,TOTAL
2012,ALABAMA,AL,ELMORE,1051,PRESIDENT,BARACK OBAMA,DEMOCRAT,8954,35485,20191203,TOTAL
2012,ALABAMA,AL,ELMORE,1051,PRESIDENT,MITT ROMNEY,REPUBLICAN,26253,35485,20191203,TOTAL
2012,ALABAMA,AL,ELMORE,1051,PRESIDENT,OTHER,OTHER,278,35485,20191203,TOTAL
2012,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,BARACK OBAMA,DEMOCRAT,5489,14869,20191203,TOTAL
2012,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,MITT ROMNEY,REPUBLICAN,9287,14869,20191203,TOTAL
2012,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,OTHER,OTHER,93,14869,20191203,TOTAL
2012,ALABAMA,AL,ETOWAH,1055,PRESIDENT,BARACK OBAMA,DEMOCRAT,12803,42530,20191203,TOTAL
2012,ALABAMA,AL,ETOWAH,1055,PRESIDENT,MITT ROMNEY,REPUBLICAN,29130,42530,20191203,TOTAL
2012,ALABAMA,AL,ETOWAH,1055,PRESIDENT,OTHER,OTHER,597,42530,20191203,TOTAL
2012,ALABAMA,AL,FAYETTE,1057,PRESIDENT,BARACK OBAMA,DEMOCRAT,1817,7946,20191203,TOTAL
2012,ALABAMA,AL,FAYETTE,1057,PRESIDENT,MITT ROMNEY,REPUBLICAN,6054,7946,20191203,TOTAL
2012,ALABAMA,AL,FAYETTE,1057,PRESIDENT,OTHER,OTHER,75,7946,20191203,TOTAL
2012,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,BARACK OBAMA,DEMOCRAT,3171,10859,20191203,TOTAL
2012,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,MITT ROMNEY,REPUBLICAN,7567,10859,20191203,TOTAL
2012,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,OTHER,OTHER,121,10859,20191203,TOTAL
2012,ALABAMA,AL,GENEVA,1061,PRESIDENT,BARACK OBAMA,DEMOCRAT,2039,11320,20191203,TOTAL
2012,ALABAMA,AL,GENEVA,1061,PRESIDENT,MITT ROMNEY,REPUBLICAN,9175,11320,20191203,TOTAL
2012,ALABAMA,AL,GENEVA,1061,PRESIDENT,OTHER,OTHER,106,11320,20191203,TOTAL
2012,ALABAMA,AL,GREENE,1063,PRESIDENT,BARACK OBAMA,DEMOCRAT,4521,5340,20191203,TOTAL
2012,ALABAMA,AL,GREENE,1063,PRESIDENT,MITT ROMNEY,REPUBLICAN,804,5340,20191203,TOTAL
2012,ALABAMA,AL,GREENE,1063,PRESIDENT,OTHER,OTHER,15,5340,20191203,TOTAL
2012,ALABAMA,AL,HALE,1065,PRESIDENT,BARACK OBAMA,DEMOCRAT,5411,8643,20191203,TOTAL
2012,ALABAMA,AL,HALE,1065,PRESIDENT,MITT ROMNEY,REPUBLICAN,3210,8643,20191203,TOTAL
2012,ALABAMA,AL,HALE,1065,PRESIDENT,OTHER,OTHER,22,8643,20191203,TOTAL
2012,ALABAMA,AL,HENRY,1067,PRESIDENT,BARACK OBAMA,DEMOCRAT,3083,8760,20191203,TOTAL
2012,ALABAMA,AL,HENRY,1067,PRESIDENT,MITT ROMNEY,REPUBLICAN,5628,8760,20191203,TOTAL
2012,ALABAMA,AL,HENRY,1067,PRESIDENT,OTHER,OTHER,49,8760,20191203,TOTAL
2012,ALABAMA,AL,HOUSTON,1069,PRESIDENT,BARACK OBAMA,DEMOCRAT,12367,41918,20191203,TOTAL
2012,ALABAMA,AL,HOUSTON,1069,PRESIDENT,MITT ROMNEY,REPUBLICAN,29270,41918,20191203,TOTAL
2012,ALABAMA,AL,HOUSTON,1069,PRESIDENT,OTHER,OTHER,281,41918,20191203,TOTAL
2012,ALABAMA,AL,JACKSON,1071,PRESIDENT,BARACK OBAMA,DEMOCRAT,5822,20577,20191203,TOTAL
2012,ALABAMA,AL,JACKSON,1071,PRESIDENT,MITT ROMNEY,REPUBLICAN,14439,20577,20191203,TOTAL
2012,ALABAMA,AL,JACKSON,1071,PRESIDENT,OTHER,OTHER,316,20577,20191203,TOTAL
2012,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,BARACK OBAMA,DEMOCRAT,159876,303918,20191203,TOTAL
2012,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,MITT ROMNEY,REPUBLICAN,141683,303918,20191203,TOTAL
2012,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,OTHER,OTHER,2359,303918,20191203,TOTAL
2012,ALABAMA,AL,LAMAR,1075,PRESIDENT,BARACK OBAMA,DEMOCRAT,1646,7166,20191203,TOTAL
